PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	NONPROPRIETARYNAME	DOSAGEFORMNAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	DEASCHEDULE	LISTING_RECORD_CERTIFIED_THROUGH
0002-1436_368df5d9-5eeb-49c7-a0dd-8a326ee5d78f	0002-1436	DRUG FOR FURTHER PROCESSING	galcanezumab-gnlm	INJECTION, SOLUTION	20180927		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	GALCANEZUMAB	120	mg/mL		20241231
0002-1437_e2a4f848-408f-442b-b4bc-8fc5d422fcfa	0002-1437	DRUG FOR FURTHER PROCESSING	Insulin glargine	INJECTION, SOLUTION	20151216		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN GLARGINE	100	[iU]/mL		20241231
0002-1455_d0f1d2b3-fc52-414c-b6c4-c63e123b7fb1	0002-1455	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SOLUTION	20170606		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-1606_4258961c-8e4d-4011-8f68-faf6af8ddd33	0002-1606	DRUG FOR FURTHER PROCESSING	Olanzapine pamoate	INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE	20091211		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	OLANZAPINE PAMOATE	210	mg/1.4mL		20241231
0002-2003_4258961c-8e4d-4011-8f68-faf6af8ddd33	0002-2003	DRUG FOR FURTHER PROCESSING	Olanzapine pamoate	INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE	20091211		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	OLANZAPINE PAMOATE	300	mg/2mL		20241231
0002-2045_cff6dcc4-614f-4634-9823-8b2879df7748	0002-2045	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SUSPENSION	20131107		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL		20241231
0002-2059_c742fb0d-bd01-471d-8d6d-09f3649c1002	0002-2059	DRUG FOR FURTHER PROCESSING	Pemetrexed disodium	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	20080115		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	PEMETREXED DISODIUM HEPTAHYDRATE	100	mg/4mL		20241231
0002-2060_c742fb0d-bd01-471d-8d6d-09f3649c1002	0002-2060	DRUG FOR FURTHER PROCESSING	Pemetrexed disodium	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	20040213		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	PEMETREXED DISODIUM HEPTAHYDRATE	500	mg/20mL		20241231
0002-2129_3ddb35dc-be95-49e0-bef1-d67ad0dc474f	0002-2129	DRUG FOR FURTHER PROCESSING	ramucirumab	SOLUTION	20140421		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	RAMUCIRUMAB	10	mg/mL		20241231
0002-2344_4258961c-8e4d-4011-8f68-faf6af8ddd33	0002-2344	DRUG FOR FURTHER PROCESSING	Olanzapine pamoate	INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE	20091211		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	OLANZAPINE PAMOATE	405	mg/2.7mL		20241231
0002-2377_368df5d9-5eeb-49c7-a0dd-8a326ee5d78f	0002-2377	DRUG FOR FURTHER PROCESSING	galcanezumab-gnlm	INJECTION, SOLUTION	20180927		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	GALCANEZUMAB	120	mg/mL		20241231
0002-2412_519e6c57-0be2-449e-954c-7049d1f75c12	0002-2412	DRUG FOR FURTHER PROCESSING	necitumumab	SOLUTION	20151124		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	NECITUMUMAB	16	mg/mL		20241231
0002-2415_83fc33d1-b5d7-494c-bcc7-f1d5f511220d	0002-2415	DRUG FOR FURTHER PROCESSING	Insulin lispro-aabc	INJECTION, SOLUTION	20200615		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-2477_3ddb35dc-be95-49e0-bef1-d67ad0dc474f	0002-2477	DRUG FOR FURTHER PROCESSING	ramucirumab	SOLUTION	20140421		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	RAMUCIRUMAB	10	mg/mL		20241231
0002-2479_83fc33d1-b5d7-494c-bcc7-f1d5f511220d	0002-2479	DRUG FOR FURTHER PROCESSING	Insulin lispro-aabc	INJECTION, SOLUTION	20200615		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-2499_d0f1d2b3-fc52-414c-b6c4-c63e123b7fb1	0002-2499	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SOLUTION	20170606		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-2509_83fc33d1-b5d7-494c-bcc7-f1d5f511220d	0002-2509	DRUG FOR FURTHER PROCESSING	Insulin lispro-aabc	INJECTION, SOLUTION	20200615		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-2510_cff6dcc4-614f-4634-9823-8b2879df7748	0002-2510	DRUG FOR FURTHER PROCESSING	Insulin human	INJECTION, SUSPENSION	19890626		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL		20241231
0002-2572_83fc33d1-b5d7-494c-bcc7-f1d5f511220d	0002-2572	DRUG FOR FURTHER PROCESSING	Insulin lispro-aabc	INJECTION, SOLUTION	20200615		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-2576_d0f1d2b3-fc52-414c-b6c4-c63e123b7fb1	0002-2576	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SOLUTION	19960614		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-2578_83fc33d1-b5d7-494c-bcc7-f1d5f511220d	0002-2578	DRUG FOR FURTHER PROCESSING	Insulin lispro-aabc	INJECTION, SOLUTION	20200615		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	200	[iU]/mL		20241231
0002-3115_368df5d9-5eeb-49c7-a0dd-8a326ee5d78f	0002-3115	DRUG FOR FURTHER PROCESSING	galcanezumab-gnlm	INJECTION, SOLUTION	20190604		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	GALCANEZUMAB	100	mg/mL		20241231
0002-6007_d0f1d2b3-fc52-414c-b6c4-c63e123b7fb1	0002-6007	DRUG FOR FURTHER PROCESSING	Insulin lispro	INJECTION, SOLUTION	20070906		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL		20241231
0002-7910_34008c56-3810-4110-af00-f1d11ccc6785	0002-7910	DRUG FOR FURTHER PROCESSING	Bamlanivimab	INJECTION, SOLUTION	20201109		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	BAMLANIVIMAB	35	mg/mL		20241231
0002-7950_1cb46e21-d566-49be-9168-5c6782f5c3af	0002-7950	DRUG FOR FURTHER PROCESSING	Etesevimab	INJECTION, SOLUTION	20210209		DRUG FOR FURTHER PROCESSING	Eli Lilly and Company	ETESEVIMAB	35	mg/mL		20241231
0002-9307_fc7b16e4-5f8a-4344-8da6-bdbca19b4751	0002-9307	BULK INGREDIENT	Insulin human	CRYSTAL	19821028		BULK INGREDIENT	Eli Lilly and Company	INSULIN HUMAN	1	g/g		20241231
0002-9524_3981c15d-3687-4ca7-ada0-3ea9812f7c47	0002-9524	BULK INGREDIENT	Insulin glargine	CRYSTAL	20141216		BULK INGREDIENT	Eli Lilly and Company	INSULIN GLARGINE	1	g/g		20241231
0004-6941_cda1f61f-e1c7-45e7-bfd8-8c34cb37d1e5	0004-6941	DRUG FOR FURTHER PROCESSING	ganciclovir sodium	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	19890623		DRUG FOR FURTHER PROCESSING	Genentech, Inc.	GANCICLOVIR SODIUM	500	mg/.01kg		20241231
0006-0001_04380331-421e-49f5-8dcc-d896fc8094e5	0006-0001	DRUG FOR FURTHER PROCESSING	suvorexant	TABLET, FILM COATED	20140815		DRUG FOR FURTHER PROCESSING	Merck Sharp & Dohme LLC.	SUVOREXANT	5	mg/1	CIV	20241231
0006-0002_04380331-421e-49f5-8dcc-d896fc8094e5	0006-0002	DRUG FOR FURTHER PROCESSING	suvorexant	TABLET, FILM COATED	20140815		DRUG FOR FURTHER PROCESSING	Merck Sharp & Dohme LLC.	SUVOREXANT	10	mg/1	CIV	20241231
0006-0003_04380331-421e-49f5-8dcc-d896fc8094e5	0006-0003	DRUG FOR FURTHER PROCESSING	suvorexant	TABLET, FILM COATED	20140815		DRUG FOR FURTHER PROCESSING	Merck Sharp & Dohme LLC.	SUVOREXANT	15	mg/1	CIV	20241231
0006-0004_04380331-421e-49f5-8dcc-d896fc8094e5	0006-0004	DRUG FOR FURTHER PROCESSING	suvorexant	TABLET, FILM COATED	20140815		DRUG FOR FURTHER PROCESSING	Merck Sharp & Dohme LLC.	SUVOREXANT	20	mg/1	CIV	20241231
0006-0138_868e158f-6d11-47e9-943c-2e02936862e2	0006-0138	DRUG FOR FURTHER PROCESSING	IMIPENEM ANHYDROUS, cilastatin, and RELEBACTAM ANHYDROUS	INJECTION, POWDER, FOR SOLUTION	20200106		DRUG FOR FURTHER PROCESSING	Merck Sharp & Dohme LLC	CILASTATIN; IMIPENEM ANHYDROUS; RELEBACTAM ANHYDROUS	500; 500; 250	mg/100mL; mg/100mL; mg/100mL		20241231
0009-0026_27370aff-b7c4-4988-a0c0-195575e89e81	0009-0026	BULK INGREDIENT	Methylprednisolone Acetate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	METHYLPREDNISOLONE ACETATE	1	kg/kg		20241231
0009-0027_84d8dcf2-d8ff-4864-8ea0-87b77bf3e1e4	0009-0027	BULK INGREDIENT	Testosterone Cypionate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TESTOSTERONE CYPIONATE	1	kg/kg	CIII	20241231
0009-0035_5c66d896-55f3-4171-a75b-efe3d8778cf2	0009-0035	BULK INGREDIENT	Novobiocin	POWDER	20140703		BULK INGREDIENT	Pharmacia & Upjohn Company LLC	NOVOBIOCIN	1	kg/kg		20241231
0009-0038_3cf1796e-97b2-48bc-b2b6-93b8234c3c30	0009-0038	BULK INGREDIENT	Methylprednisolone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	METHYLPREDNISOLONE	1	kg/kg		20241231
0009-0042_4234939f-ac72-4c08-90e5-dc6439087cc3	0009-0042	BULK INGREDIENT	Alprostadil	POWDER	20150826		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	ALPROSTADIL	1	g/g		20241231
0009-0043_866009c2-e537-4f48-bdb3-0afbebd8267d	0009-0043	BULK INGREDIENT	Anidulafungin	POWDER	20150826		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	ANIDULAFUNGIN	1	kg/kg		20241231
0009-0046_7429fe3c-70af-4fb2-97e5-a50722357b11	0009-0046	DRUG FOR FURTHER PROCESSING	Parecoxib Sodium	INJECTION, POWDER, FOR SOLUTION	20140703		DRUG FOR FURTHER PROCESSING	Pharmacia & Upjohn Company LLC	PARECOXIB SODIUM	40	mg/1		20241231
0009-0052_33ae9cb2-03fe-459b-907d-0cda8c73acff	0009-0052	BULK INGREDIENT	progesterone	POWDER	20150811		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-0058_f039c6a9-1f59-47df-82c9-65b0e4a772cb	0009-0058	BULK INGREDIENT	Dinoprostone	POWDER	20150826		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	DINOPROSTONE	1	kg/kg		20241231
0009-0062_3b8ec01c-3d67-4928-b131-51741979fa0c	0009-0062	BULK INGREDIENT	Methylprednisolone Hemisuccinate	POWDER	20150826		BULK INGREDIENT	Pharmacia & Upjohn Company LLC	METHYLPREDNISOLONE HEMISUCCINATE	1	kg/kg		20251231
0009-0063_eef7d406-a35e-4b09-8a32-adff37e91695	0009-0063	BULK INGREDIENT	CLindamycin Palmitate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	CLINDAMYCIN PALMITATE	1	kg/kg		20241231
0009-0067_68c85d06-f69d-4e80-8274-5eaf75b3d122	0009-0067	BULK INGREDIENT	Medroxyprogesterone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	MEDROXYPROGESTERONE ACETATE	1	kg/kg		20241231
0009-0069_2b1117ae-f08d-4ecf-99bd-f16e3d1c5f51	0009-0069	BULK INGREDIENT	Hydrocortisone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	HYDROCORTISONE	1	kg/kg		20241231
0009-0074_7e505329-6642-44ef-950a-443792323eb7	0009-0074	BULK INGREDIENT	Testosterone	POWDER	20000101		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TESTOSTERONE	1	kg/kg	CIII	20241231
0009-0075_39664b85-6071-4967-967c-757d810a41ee	0009-0075	BULK INGREDIENT	Trenbolone Acetate	POWDER	20160524		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TRENBOLONE ACETATE	1	kg/kg	CIII	20241231
0009-0076_b2ad34ac-cc3a-416a-a558-6201e7bad095	0009-0076	BULK INGREDIENT	Androstenedione	POWDER	20140703		BULK INGREDIENT	Pharmacia & Upjohn Company LLC	ANDROSTENEDIONE	1	kg/kg	CIII	20241231
0009-0078_13f3b352-a22e-4a62-8ff1-11588492e9c1	0009-0078	BULK INGREDIENT	Progesterone	POWDER	19600901		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-0081_13f3b352-a22e-4a62-8ff1-11588492e9c1	0009-0081	BULK INGREDIENT	Progesterone	POWDER	20100901		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-0087_7d90a82d-a4ce-44ac-8840-491829cd01d1	0009-0087	BULK INGREDIENT	Phenytoin Sodium	POWDER	20131213		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PHENYTOIN SODIUM	1	kg/kg		20241231
0009-0098_fcb3e676-dae6-4255-bba3-55777e2845d7	0009-0098	BULK INGREDIENT	obeticholic acid	POWDER	20210514		BULK INGREDIENT	Pharmacia & Upjohn Company LLC	OBETICHOLIC ACID	1	kg/kg		20241231
0009-0105_13f3b352-a22e-4a62-8ff1-11588492e9c1	0009-0105	BULK INGREDIENT	Progesterone	POWDER	19600901		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-0106_189a43fa-7d6e-40a8-8402-7807602ac0dc	0009-0106	DRUG FOR FURTHER PROCESSING	Taliglucerase alfa	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	20120501		DRUG FOR FURTHER PROCESSING	Pharmacia and Upjohn Company LLC	TALIGLUCERASE ALFA	200	U/5mL		20241231
0009-0211_4cde3702-9347-437e-b853-dea015c30bb0	0009-0211	DRUG FOR FURTHER PROCESSING	crisaborole	OINTMENT	20190401		DRUG FOR FURTHER PROCESSING	Pharmacia and Upjohn Company LLC	CRISABOROLE	20	mg/g		20241231
0009-0420_985362be-4b42-42c3-9461-4f03df7bd07a	0009-0420	BULK INGREDIENT	Tolterodine Tartrate	POWDER	20140703		BULK INGREDIENT	Pharmacia & Upjohn Company LLC	TOLTERODINE TARTRATE	1	kg/kg		20241231
0009-0488_963b1bc6-f4b5-4163-a0c8-ee5f54b64c85	0009-0488	BULK INGREDIENT	Phenytoin	POWDER	20131213		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PHENYTOIN	1	kg/kg		20241231
0009-5010_965bb75e-c871-410e-b2b8-42b076584f29	0009-5010	BULK INGREDIENT	Dexamethasone Acetate	POWDER	20160518		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	DEXAMETHASONE ACETATE, UNSPECIFIED FORM	1	kg/kg		20241231
0009-5019_81a0414e-39ee-45f0-8620-993833e823ba	0009-5019	BULK INGREDIENT	Dexamethasone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	DEXAMETHASONE	1	kg/kg		20241231
0009-5020_fb404843-6ecc-48c7-8fed-6fab324bae90	0009-5020	BULK INGREDIENT	Testosterone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TESTOSTERONE	1	kg/kg	CIII	20241231
0009-5023_042dea11-eccd-48bd-beb4-7d911394b160	0009-5023	BULK INGREDIENT	Progesterone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-5023_2c4ae21b-64f6-4a7e-b1a8-d9c38ba71aa8	0009-5023	BULK INGREDIENT	Progesterone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-5023_7415e030-cd86-4806-8d85-5b33539bafcb	0009-5023	BULK INGREDIENT	Progesterone	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	PROGESTERONE	1	kg/kg		20241231
0009-5025_043f79a0-833c-4309-ab78-d79d0eb322c1	0009-5025	BULK INGREDIENT	Dexamethasone Acetate Anhydrous	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	DEXAMETHASONE ACETATE ANHYDROUS	1	kg/kg		20241231
0009-5027_55cd031d-0580-4840-8e75-67e771b4ea06	0009-5027	BULK INGREDIENT	Dexamethasone Sodium Phosphate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	DEXAMETHASONE SODIUM PHOSPHATE	1	kg/kg		20241231
0009-5030_19d314c8-daae-47bf-9aa8-dae2caa0afb6	0009-5030	BULK INGREDIENT	Megestrol Acetate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	MEGESTROL ACETATE	1	kg/kg		20241231
0009-5031_4728d4f5-52f7-4153-bb30-a5d202b190f8	0009-5031	BULK INGREDIENT	Dinoprost Tromethamine	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	DINOPROST TROMETHAMINE	1	kg/kg		20241231
0009-5036_9ac0b0cf-745e-446a-998e-9934a1cc58fa	0009-5036	BULK INGREDIENT	Testosterone Undecanoate	POWDER	20140314		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TESTOSTERONE UNDECANOATE	1	kg/kg	CIII	20241231
0009-5038_4ddf3760-2a6d-440e-897d-2ae7936c81c3	0009-5038	BULK INGREDIENT	Spectinomycin	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	SPECTINOMYCIN	1	kg/kg		20241231
0009-5038_8d2d213f-9a67-4a9a-b319-0a10b471dce3	0009-5038	BULK INGREDIENT	Spectinomycin	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	SPECTINOMYCIN	1	kg/kg		20241231
0009-5038_f1d0432e-642e-4c8b-af8d-b37ac100e205	0009-5038	BULK INGREDIENT	Spectinomycin	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	SPECTINOMYCIN	1	kg/kg		20241231
0009-5056_bba7d364-7095-4d00-8a0b-f9a8f2554124	0009-5056	BULK INGREDIENT	Minoxidil	POWDER	20200101		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	MINOXIDIL	1	kg/kg		20241231
0009-5086_c15788ce-9ec2-474a-a2cb-7dac3fcfd32c	0009-5086	BULK INGREDIENT	Hydrocortisone Hemisuccinate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	HYDROCORTISONE HEMISUCCINATE	1	kg/kg		20241231
0009-5097_d92d4014-c344-44bb-a064-ae89a804b206	0009-5097	BULK INGREDIENT	Medroxyprogesterone Acetate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	MEDROXYPROGESTERONE ACETATE	1	kg/kg		20241231
0009-5107_e1fd2efe-dcc8-49eb-b8ba-c5982c062573	0009-5107	BULK INGREDIENT	Novobiocin	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	NOVOBIOCIN	1	kg/kg		20241231
0009-5123_6e8498f5-e9c3-4c8e-b92e-7859c85e0219	0009-5123	BULK INGREDIENT	Testosterone Propionate	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TESTOSTERONE PROPIONATE	1	kg/kg	CIII	20241231
0009-5144_c84dc547-9ede-4b52-8b5c-4f905e5a3cb4	0009-5144	BULK INGREDIENT	Alprazolam	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	ALPRAZOLAM	1	kg/kg	CIV	20241231
0009-5157_c7a0c189-174c-44fd-ada6-906fc957d8a4	0009-5157	BULK INGREDIENT	Linezolid	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	LINEZOLID	1	kg/kg		20241231
0009-5161_ea6f1202-2729-48db-ae8a-8a87453aa378	0009-5161	BULK INGREDIENT	Hydrocortisone Acetate	POWDER	20140710		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	HYDROCORTISONE ACETATE	1	kg/kg		20241231
0009-5164_86c7644b-f862-44ab-816f-7741ca07a26a	0009-5164	BULK INGREDIENT	Epoprostenol Sodium	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	EPOPROSTENOL SODIUM	1	g/g		20241231
0009-5168_7daf9a71-1a9e-4b08-845e-6b5416de8024	0009-5168	BULK INGREDIENT	Lincomycin hydrochloride	POWDER	20140703		BULK INGREDIENT	Pharmacia & Upjohn Company LLC	LINCOMYCIN HYDROCHLORIDE	1	kg/kg		20241231
0009-5172_bd321903-53a0-4cc4-b031-056e4a3ac6ce	0009-5172	BULK INGREDIENT	Latanoprost	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	LATANOPROST	1	kg/kg		20241231
0009-5188_5821c6f5-3645-40b4-81f4-508757df92b2	0009-5188	BULK INGREDIENT	Triazolam	POWDER	20140703		BULK INGREDIENT	Pharmacia and Upjohn Company LLC	TRIAZOLAM	1	kg/kg	CIV	20241231
