property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1511 sqft,New Property,Poss. by Feb '26,5 out of 13,Unfurnished,North - East,120 ft main road touch  corner project only 3 BHK flats aminitiesbanquet halltemplegardengymnasiumchildren play areagajebo sittingJogging trackbasement parkingRead more,"₹2,368 per sqft ",₹35.8 Lac 
2 BHK Apartment for Sale in Bhatar Road Surat,Carpet Area,850 sqft,Resale,Ready to Move,4 out of 7,Furnished,South - East,"Good news for those planning to own a flat in Surat!! Introducing a well-maintained 2 BHK apartment now available for sale on Bhatar Road, Surat. Boasting essential services within a short range, this property is definitely the right choice to lead a hassle-free life with the family. Then, why wait, book this property today!!Property SpecificationsThoughtfully designed, this 2 BHK flat spanning across a carpet area of 850 sqft is levelled on the 4th floor of a 7-storey building. Furnished with wardrobes, beds, AC, lights, and fans, this residence offers a seamless blend of convenience and elegance. Being vaastu compliant is another highlight of this property and the flat faces the southeast direction.Moving to the layout, the flat consists of two bedrooms and 2 western-style bathrooms ( 1 attached, 1 common) equipped with geysers. A balcony attached to one bedroom provides a charming view of the road. Further, the living-cum-dining area, store room, and modular kitchen with a piped gas connection showcase thoughtful design.That is not all, there is a utility area with the kitchen for added convenience and the flooring throughout the flat is adorned with marble.FacilitiesThis property benefits from facilities such as 2 open parking spaces, 24-hour water supply from both borewell and corporation sources, 100% power backup, tight security, CCTV surveillance, and a lift.LocalityLocated near Uma Bhavan, this property is within 1 km of schools, hospitals, and malls/supermarkets, ensuring proximity to essential amenities. Public transport options, including buses and autos, are easily accessible while the railway station is  just 7km away and a metro station is at a convenient 100m distance.Read more",,₹45 Lac 
  Shop for Sale in Moti Begumwadi Surat,Carpet Area,180 sqft,Resale,Ready to Move,3 out of 3,,,"4056,Hari om Textile Market, Ring Road, Near Rohit AC Market","₹14,728 per sqft ",₹26.5 Lac 
  Office Space for Sale in Nanpura Surat,Super Area,800 sqft,Resale,Ready to Move,2 out of 6,1,,"Property is suitable for Lawyers, Chartered Accountants and other Back office work.Read more","₹5,250 per sqft ",₹42 Lac 
3 BHK Apartment for Sale in Mota Varachha Surat,Carpet Area,1000 sqft,New Property,Ready to Move,3 out of 5,Furnished,East,"3bhk fully furnished flat in Mota Varachha n well maintained fully furnished with softa, fan  lightsRead more","₹3,185 per sqft ",₹43 Lac 
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,731 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,East,gated security,"₹2,736 per sqft ",₹20 Lac 
  Office Space for Sale in Belgium Tower Ring Rode Surat,Carpet Area,816 sqft,Resale,Ready to Move,3 out of 12,1,,Commercial office space is available for sale. It has carpet area 816 sq-ft. Please contact for more details.Read more,"₹4,534 per sqft ",₹37 Lac 
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,950 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,West,Flat for sale in Amroli Surat. Prime location. Near by Mansarovar Shopping center.Read more,"₹2,829 per sqft ",₹29 Lac 
2 BHK Apartment for Sale in Palan Pur Patiya Surat,Super Area,1150 sqft,Unfurnished,1 out of 7,Resale,1,1,Multistorey Apartment is located at the advantageous 1st floor in a tower of total 7 floors. It is a relatively new property with construction age less than 5 yrs.Read more,"₹3,304 per sqft ",₹38 Lac 
1 BHK  House for Sale in Palsana Surat,Carpet Area,432 sqft,New Property,Ready to Move,Ground out of 1,Unfurnished,West,Corner house,"₹3,009 per sqft ",₹13 Lac 
  Shop for Sale in Ghod Dod Road Surat,Carpet Area,350 sqft,Resale,Ready to Move,Lower Basement out of 7,,,"  Commercial Shop is available for Sale in Ghod Dod Road, Surat for 45.0 Lac(s)Read more","₹12,857 per sqft ",₹45 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,910 sqft,Resale,Ready to Move,1 out of 5,Unfurnished,East,This is 3 bhk fully furnished flat with all furniture and electronic appliances.Read more,"₹2,857 per sqft ",₹40 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,650 sqft,Unfurnished,Ready to Move,New Property,East,Main Road,LUXURY NOW AFFORDABLE 2 BHK FLAT.Two Separate Buildings with Only 100 Flats in Campus.Read more,"₹4,150 per sqft ",₹46.5 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1250 sqft,New Property,Ready to Move,7 out of 14,Unfurnished,South -West,Project on 150 ft road.good location2 and 3 bhk flats available2 bhk 1250 sq ft3 bhk 1598 sq ftlowest rate in areaRead more,"₹3,325 per sqft ",₹41.6 Lac 
3 BHK Villa for Sale in Masma Village Surat,Carpet Area,1480 sqft,Unfurnished,Poss. by Jul '24,New Property,East,Freehold,Main road touch underconstruction project.,"₹2,264 per sqft ",₹33.5 Lac 
2 BHK Apartment for Sale in Shivalik Height Surat,Super Area,1105 sqft,Resale,Ready to Move,9 out of 14,Unfurnished,South -West,"Book Your Budgeted 2BHK Flat, Single Tower, Alloted Parking, Easy Payment ScheduleRead more","₹3,842 per sqft ",₹42.5 Lac 
2 BHK Apartment for Sale in Althan Surat,Super Area,1305 sqft,New Property,Poss. by Dec '26,5 out of 12,Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹3,678 per sqft ",₹48 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1290 sqft,Resale,Ready to Move,5 out of 13,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 45.0 Lac(s)Read more","₹3,488 per sqft ",₹45 Lac 
2 BHK Apartment for Sale in Bamroli Surat,Super Area,975 sqft,New Property,Poss. by Apr '25,6 out of 13,Unfurnished,South - East,2 BHK Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read more,"₹3,282 per sqft ",₹32 Lac 
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1250 sqft,New Property,Ready to Move,7 out of 14,Unfurnished,East,2 BHK Flat For sell In Jaahngirabad Prime Area With All Aminities.Read more,"₹2,800 per sqft ",₹35 Lac 
2 BHK Apartment for Sale in Godadara Surat,Carpet Area,725 sqft,New Property,Poss. by Jan '25,7 out of 14,Unfurnished,South -West,2 and 3 bhk luxurious flats at prime locations.,"₹3,500 per sqft ",₹46.2 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1558 sqft,Resale,Ready to Move,1 out of 5,Unfurnished,North - East,"2 bhk flat for rent, It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. Indeed, the society too has for enjoyment, such as club housecommunity center, and security personnel etc, Other facilities include intercom facility, lift  and park etc.Read more","₹3,017 per sqft ",₹47 Lac 
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,727 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,East,"4 balconies per flat Basement Parking  Indoor play and function area passage Clubhouse size passage       Area space per floorPlaning As per VastuMultipurpose Sports AreaGazebo seating24x7 security surveillanceSolar Panel inbuilt for low Maintenance life timeMultipurpose Play Court     Cricket, Badminton, basketball,      volleyballLandscape gardenOpen Big Campus Area   party space and many more..Read more","₹3,075 per sqft ",₹38.5 Lac 
  Plot/Land for Sale in Bhatpore Surat,Plot Area,120 sqft,Congo,Freehold,Resale,2,Garden/Park,"120 Sq-ft Residential Plot is available for Sale in Bhatpore, Surat for 42.0 Lac(s)Read more","₹35,000 per sqft ",₹42 Lac 
  Shop for Sale in Kosamba Surat,Carpet Area,425 sqft,Resale,Ready to Move,1 out of 2,,,"  Commercial Shop is available for Sale in Kosamba, Surat for 20.0 Lac(s)Read more","₹4,706 per sqft ",₹20 Lac 
  Office Space for Sale in Udhna Surat,Carpet Area,396 sqft,Resale,Ready to Move,2 out of 10,3,,"Commercial office space is available for rent. Carpet Area 396 sq-ft, fully furnished with colour, Front partition and Cabin office, Main road touch, Front location, Common parking, Visiters parking, Two Banks and ATM in Complex, Mazanine Floor Office, no lift required, Fully Commercial Complex, Fully Industrial and GIDC Area, BRTS Bus Stop opp complex, 3 km Udhna Railway Station, 2 km ST Bus Station, 6 km Airport.Read more","₹5,808 per sqft ",₹23 Lac 
  Plot/Land for Sale in Narthan Surat,Plot Area,1055 sqft,Resale,21 X 50.2,Freehold,2,1,More than 7 international school running in this area green area just 7 kms Dmart jhangripura from this society. Golden opportunity to invest in this area.Read more,"₹2,275 per sqft ",₹24 Lac 
1 BHK Apartment for Sale in Jahangirabad Surat,Super Area,735 sqft,Resale,Ready to Move,12 out of 14,Unfurnished,Main Road,"A Spacious 1bhk road facing brand new flat for sale in a new luxurious high rise apartment. the building has the facilities available like garden, children play area, well designed building reception, 2 automatic auto door lifts etcRead more","₹3,810 per sqft ",₹28 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1326 sqft,Resale,Ready to Move,9 out of 14,Unfurnished,East,2 BHK  3 BHK  apartments at palanpur. with all amenities best location for best deal callRead more,"₹3,771 per sqft ",₹50 Lac 
  Office Space for Sale in Vesu Surat,Super Area,510 sqft,New Property,Poss. by Dec '25,3 out of 12,"1 Covered,",1,"VACANZZA ATLAS, THE DREAM COMMERCIAL PROJECT, is located on a premium vesu canal road opposite GD Goenka School. This is a perfect business center, with shops on ground and upper floor, amenities on 1st floor, offices from 3rd to 12th floor, and a roof top cafeteria. THE DREAM PLACE FOR CORPORATE AND PROFESSIONAL OFFICES, AND FOR CONSULTANTS.Read more","₹7,000 per sqft ",₹35.7 Lac 
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1178 sqft,Resale,Ready to Move,10 out of 14,Unfurnished,East,"Near new dmart. Decent for leaving,  regular water supply, the perfect home for familynear new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmart. Near panta loons, dmart char rasta. Near theatre near. Near new dmartRead more","₹3,099 per sqft ",₹36.5 Lac 
3 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1900 sqft,Resale,Ready to Move,7 out of 14,Unfurnished,South -West,3 BHK Levish Flat For Sell With All Aminities.Contact For More Details.Read more,"₹2,632 per sqft ",₹50 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,80 sqm,Resale,Ready to Move,2 out of 12,Unfurnished,East,"Experience the grandeur of luxurious living in this expansive 3 BHK flat located in the heart of Jahangirabad, Surat. With the advantage of freehold ownership, a construction age of less than 5 years, and offering an exceptional investment opportunity, this property stands as a testament to unmatched sophistication and value.Property Specifications Step into a world of comfort and convenience with this exquisite property boasting a carpet area of 80 sqm. Situated on the 2nd floor of an east-facing building, this ready-to-move-in gem is flooded with natural sunlight and ventilation, creating a refreshing ambience throughout.As you enter, you're greeted by an expansive living area with vitrified tile flooring that adds a touch of elegance to the space. The property features three bedrooms, each designed for optimal comfort and privacy, along with three bathrooms offering modern fixtures and fittings.One of the highlights of this property is its wide and airy balcony, perfect for relaxing evenings or morning coffees with a view. The well-equipped kitchen is a culinary enthusiast's dream, featuring ample storage space and functionality.Facilities In terms of facilities, you'll find an open parking space for one vehicle, ensuring convenience for residents. Water availability is round-the-clock, and the property experiences rare power cuts, ensuring uninterrupted daily life. Additionally, there's a lift available for easy access to the second floor.Locality Jahangirabad in Surat is a vibrant locality known for its blend of urban conveniences and peaceful surroundings. Situated strategically, it offers easy access to key amenities and attractions, making it a sought-after residential destination. This area boasts a well-developed infrastructure with a range of schools, hospitals, and supermarkets within close proximity, catering to the daily needs of residents. Public transport options are readily available, ensuring seamless connectivity to other parts of the city.For those who enjoy leisure and recreation, Jahangirabad offers parks and recreational facilities, providing ample opportunities for relaxation and outdoor activities. The presence of commercial establishments and markets adds to the convenience, making it a self-sufficient locality.Read more",,₹36 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Super Area,1600 sqft,Resale,Ready to Move,3 out of 12,Unfurnished,3,"3 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 43.58 Lac(s)Read more","₹2,724 per sqft ",₹43.6 Lac 
  Shop for Sale in Rajhnsh platinum plaza Surat,Super Area,445 sqft,Resale,Ready to Move,1 out of 4,2 Covered,,"  Commercial Shop is available for Sale in , Surat for 25.0 Lac(s)Read more","₹5,618 per sqft ",₹25 Lac 
2 BHK Apartment for Sale in Bamroli Surat,Carpet Area,680 sqft,New Property,Poss. by Jan '26,6 out of 14,Unfurnished,East,"2 bhk available for salewith morden aminitis like garden, gym,pool, temple, tracking,prime locationmain road center of surateverything is near by contact us for more details.Read more","₹3,747 per sqft ",₹46.5 Lac 
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,721 sqft,Resale,Ready to Move,3 out of 5,Semi-Furnished,East,Near upcoming metro station. Also near to city bus stop and hospitalRead more,"₹2,936 per sqft ",₹32 Lac 
  Office Space for Sale in Nanpura Surat,Carpet Area,400 sqft,Resale,Ready to Move,2 out of 5,1 Covered,1,this is a river facing office   furnished office  suitable for c.a  advocate or personal office for any business men.Read more,"₹5,578 per sqft ",₹41 Lac 
2 BHK Apartment for Sale in Swagat Home Surat,Carpet Area,545 sqft,Resale,Poss. by Dec '24,13 out of 14,Unfurnished,East,Swagat Home,"₹3,451 per sqft ",₹33.5 Lac 
1 BHK Apartment for Sale in Palanpur Surat,Super Area,813 sqft,New Property,Poss. by Aug '25,4 out of 14,Unfurnished,East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,"₹3,507 per sqft ",₹28.5 Lac 
1 BHK Apartment for Sale in Palanpur Surat,Super Area,990 sqft,New Property,Poss. by Jul '24,5 out of 13,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 28.0 Lac(s)Read more","₹2,828 per sqft ",₹28 Lac 
1 BHK Apartment for Sale in Jahangir Pura Surat,Carpet Area,500 sqft,Resale,Ready to Move,5 out of 12,Furnished,East,new bulding with good farnichar middal floor,"₹3,636 per sqft ",₹28 Lac 
2 BHK  House for Sale in Nansad Surat,Carpet Area,42 sqm,Resale,Ready to Move,Ground out of 1,Unfurnished,East,"House at Block No. 81171, Plot No. 71, Vraj Nandini Residency Vibhag 2,  Vill. Nansad, Taluka Kamrej, Dist. SuratRead more","₹1,951 per sqft ",₹9 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,970 sqft,Resale,Ready to Move,6 out of 10,Semi-Furnished,East,3bhk Fully FURNISHED,"₹3,093 per sqft ",₹30 Lac 
2 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,1180 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,2,"Discover a cozy haven nestled in the vibrant neighborhood of Jahangir Pura, Surat. This 2 BHK flat for sale offers a perfect blend of comfort and convenience, ideal for those seeking a modern urban lifestyle. With its thoughtful design and prime location, this property promises a serene living experience in the heart of the city.Property SpecificationsSpanning a super area of 1180 sqft, this 2 BHK flat resides on the fifth floor of a well-maintained 5-storey building, offering a serene retreat away from the city's hustle and bustle.Upon entering, you are greeted by an airy living cum dining area, providing ample space for relaxation and entertainment. The unfurnished interiors allow for personalized touches to make this space truly your own. Adjoining the living area is a balcony that offers a picturesque view of the surrounding buildings, perfect for enjoying your morning coffee or unwinding after a long day.This flat boasts two bedrooms, each designed to provide comfort and privacy. Also, there are two western-style bathrooms, one of which is attached to a bedroom, while a common bathroom serves the needs of guests and residents alike.The heart of this home is its well-equipped kitchen, complete with a piped gas connection and a utility area for added convenience. The flooring throughout the flat is adorned with sleek vitrified tiles, enhancing the overall aesthetic appeal while ensuring easy maintenance.FacilitiesResidents will enjoy a host of amenities designed to elevate their living experience. Covered parking ensures the safety of your vehicle, while round-the-clock water supply and security guard services offer peace of mind. CCTV surveillance and a dedicated lift further enhance the safety and convenience of this residence.LocalityJahangir Pura, Surat, is a bustling residential locality known for its vibrant atmosphere and convenient amenities. The area is well-connected to the city center and other key areas, making it an ideal choice for those seeking a blend of urban convenience and suburban tranquility. With its proximity to schools, colleges, hospitals, shopping centers, and recreational facilities, Jahangir Pura provides a comfortable and convenient lifestyle for its residents.Read more","₹2,712 per sqft ",₹32 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,750 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,East,"2 BHK Exclusive Wind Direction Flat For Sale Nr. Raj World Palanpur.Road Side View, Garden View, Wind Direction, East Facing, South West Open Flat. For Sale.Read more","₹3,304 per sqft ",₹38 Lac 
2 BHK Apartment for Sale in Shardhaa Surat,Carpet Area,1100 sqft,Resale,Ready to Move,2 out of 5,Furnished,East,"Multistorey apartment is available for sale. Nice campus location, CCTV allow, garden space allow.Read more",,₹40 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1000 sqft,Resale,Ready to Move,2 out of 4,Furnished,East,short distance from surat station,"₹3,951 per sqft ",₹39.5 Lac 
1 BHK Apartment for Sale in Bhesan Road Surat,Super Area,813 sqft,New Property,Poss. by Feb '25,7 out of 14,Unfurnished,East,Ugat bhesan road surat near metro stationAnd near garden vegetable market good locationRead more,"₹3,567 per sqft ",₹29 Lac 
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,550 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Katar Gam, Surat for 20.0 Lac(s)Read more","₹3,636 per sqft ",₹20 Lac 
1 BHK Apartment for Sale in Bhatar Surat,Super Area,800 sqft,Resale,Ready to Move,1 out of 4,Furnished,1,road facing,"₹3,750 per sqft ",₹30 Lac 
  Office Space for Sale in Katar Gam Surat,Super Area,280 sqft,Resale,Ready to Move,1 out of 4,,,"  Commercial Office Space is available for Sale in Katar Gam, Surat for 36.0 Lac(s)Read more","₹12,857 per sqft ",₹36 Lac 
1 BHK Apartment for Sale in Adajan Surat,Carpet Area,450 sqft,Resale,Ready to Move,1 out of 5,Unfurnished,1,"1 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 21.50 Lac(s)Read more","₹3,909 per sqft ",₹21.5 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1250 sqft,Resale,Ready to Move,2 out of 4,Furnished,2,"Fully furnished ready to move in HOUSE . With Ac , washing machineRead more","₹3,600 per sqft ",₹45 Lac 
2 BHK Builder Floor for Sale in Varachha Surat,Super Area,800 sqft,Resale,Ready to Move,3 out of 4,Unfurnished,2,"2 BHK, Builder Floor Apartment is available for Sale in Varachha, Surat for 10.50 Lac(s)Read more","₹1,312 per sqft ",₹10.5 Lac 
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1267 sqft,Resale,Ready to Move,2 out of 4,Furnished,North - West,"2 BHK, Builder Floor Apartment is available for Sale in Nana Varachha, Surat for 50.0 Lac(s)Read more","₹3,946 per sqft ",₹50 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1200 sqft,Furnished,3 out of 10,Resale,Freehold,2,"2 BHK multistorey apartment is available for sale with kitchen, dining table, double bed, wardrobe, computer table etc. 24 Hours electricity with power generator, security and well maintained building. Please contact for more details.Read more","₹3,333 per sqft ",₹40 Lac 
1 BHK  House for Sale in Kadodara Surat,Carpet Area,600 sqft,Unfurnished,Ready to Move,Resale,East,Main Road,good,"₹3,000 per sqft ",₹18 Lac 
2 BHK Apartment for Sale in Citylight Area Surat,Carpet Area,750 sqft,Resale,Ready to Move,7 out of 10,Unfurnished,2," This spacious Home is on floor 7 of 10 and is built up in 900 Sq-ft. It is a well-designed spacious Home situated in Citylight Area. Offering 2 bedroom and 2 spacious bathrooms, the Home is Unfurnished. 37 Lac is the expected price of Home. Read more","₹4,111 per sqft ",₹37 Lac 
1 BHK  House for Sale in Sayan Surat,Carpet Area,432 sqft,New Property,Ready to Move,Ground out of 1,Unfurnished,East,"1 BHK, Residential House is available for Sale in Sayan, Surat for 10.0 Lac(s)Read more","₹2,315 per sqft ",₹10 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1600 sqft,Resale,Ready to Move,9 out of 13,Unfurnished,3,"3 BHK, Multistorey Apartment is available for Sale in Jahangirabad, Surat for 30.0 Lac(s)Read more","₹1,875 per sqft ",₹30 Lac 
1 BHK Apartment for Sale in Katargam Surat,Carpet Area,450 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,1,"1 BHK, Multistorey Apartment is available for Sale in Katargam, Surat for 18.0 Lac(s)Read more",,₹18 Lac 
1 BHK Apartment for Sale in Palanpur Surat,Carpet Area,441 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,South,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 23.51 Lac(s)Read more","₹3,509 per sqft ",₹23.5 Lac 
2 BHK Apartment for Sale in Aarav Apartment Surat,Super Area,850 sqft,Resale,Ready to Move,3 out of 4,Semi-Furnished,Main Road,"very close of evey useful need like hospital railway station, bus station, sabji marketRead more","₹2,941 per sqft ",₹25 Lac 
  Office Space for Sale in Shahpore Surat,Super Area,70 sqm,Resale,Ready to Move,Upper Basement out of 5,1,,"Commercial office space is available for sale. It covered area of 70 sq-m, it is a good location property. Please contact formore details.Read more","₹3,320 per sqft ",₹25 Lac 
2 BHK Apartment for Sale in Vatsalya Avenue Surat,Carpet Area,1230 sqft,Resale,Ready to Move,9 out of 13,Semi-Furnished,East,"Specious flat with full sunlight from all side. 24x7 SMC water,3 lift, wide coridorRead more",,₹30 Lac 
  Office Space for Sale in Vijayalaxmi Hills Surat,Carpet Area,460 sqft,Resale,Ready to Move,3 out of 10,1,,"Perfect  office place in the centre of Adajan Gam. Building located 70 meters from Surat Hazira Road. Silent Location. Ample parking place for owners as well as visitor. Ideal office for Lawyer, consultant, Doctor, Travel Agency, etc.Read more","₹6,803 per sqft ",₹40 Lac 
  Office Space for Sale in Mahalaxmi Market udhna Surat,Super Area,393 sqft,Resale,Ready to Move,1 out of 3,1,,"  Commercial Office Space is available for Sale in , Surat for 20.0 Lac(s)Read more","₹5,089 per sqft ",₹20 Lac 
2 BHK Apartment for Sale in Kamrej Road Surat,Carpet Area,783 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,North - East,"Multistorey apartment is available for sale. It has carpet area 783 sq-ft, it is 2 BHK apartment. Please contact for more details.Read more",,₹50 Lac 
